Title,cast,crew,genres,final_tag,movie_id
Fifty Shades Darker,Dakota Johnson,James Foley,Drama Romance,"When a wounded Christian Grey tries to entice a cautious Ana Steele back into his life, she demands a new arrangement before she will give him another chance. As the two begin to build trust and find stability, shadowy figures from Christian’s past start to circle the couple, determined to destroy their hopes for a future together.en",341174.0
John Wick: Chapter 2,Keanu Reeves,Chad Stahelski,Thriller Action Crime,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.en",324552.0
Bornless Ones,Michael Johnston,Alexander Babaev,Horror Mystery Thriller,"With the help of her friends, Emily moves to a remote home to take better care of her brother, Zack who is diagnosed with cerebral palsy. But what they don't know is that the house is keeping a terrifying secret that will haunt them one by one.en",421601.0
The Great Wall,Matt Damon,Zhang Yimou,Action Adventure Fantasy,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.en,311324.0
A Cure for Wellness,Dane DeHaan,Gore Verbinski,Horror Mystery Science Fiction Thriller,"An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps but soon suspects that the spa's miraculous treatments are not what they seem.en",340837.0
Fist Fight,Ice Cube,Richie Keen,Comedy,"When one school teacher gets the other fired, he is challenged to an after-school fight.en",345922.0
American Fable,Peyton Kennedy,Anne Hamilton,Drama Thriller,"When 11-year-old Gitty discovers that her father, Abe, a good and beloved farmer, is holding a wealthy man hostage in their abandoned silo in order to save their suffering farm, she befriends the captive in secret. As the truth unfolds about who he is and what will happen if he escapes, Gitty chooses to confront the thin line between reality and fiction.en",381064.0
XX,,"Jovanka Vuckovic, Annie Clark, Roxanne Benjamin, Karyn Kusama",,"Mark is a director working in Taipei City who recently lost an important client. Reluctant to go back to his hometown Kaohsiung, an industrial town with severe pollution and no directing job, he decides to earn some quick money by making porn with his friend, Bugsy. However, while they are shooting the sex scenes on the rooftop, the worst smog arrives at the city and devours everything, including Mark’s last hope to stay in Taipei.zh",897243.0
Lovesong,,So Yong Kim,Drama Romance,"Neglected by her husband, Sarah embarks on an impromptu road trip with her young daughter and her best friend, Mindy. Along the way, the dynamic between the two friends intensifies before circumstances force them apart. Years later, Sarah attempts to rebuild their intimate connection in the days before Mindy’s wedding.en",371447.0
Get Out,Daniel Kaluuya,Jordan Peele,Mystery Thriller Horror,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.en",419430.0
Rock Dog,Kurt Voelker (screenplay); Luke Wilson,Ash Brannon,Animation Comedy Music Family,"When Bodi and his band 'True Blue' leave Snow Mountain, to tour with pop sensation, Lil' Foxy, they learn that fame comes at a price.en",812204.0
Collide,F. Scott Frazier (screenplay); Nicholas Hoult,Eran Creevy,Thriller Action,"An American backpacker gets involved with a ring of drug smugglers as their driver, and winds up on the run from his employers across Cologne’s autobahns.en",195590.0
The Girl with All the Gifts,,"Colm McCarthy (director), M. R. Carey (screenplay); Gemma Arterton, Glenn Close, Paddy Considine, Sennia Nanua",Drama Horror Thriller Science Fiction,"In the future, a strange fungus has changed nearly everyone into a thoughtless, flesh-eating monster. When a scientist and a teacher find a girl who seems to be immune to the fungus, they all begin a journey to save humanity.en",375366.0
I Don't Feel at Home in This World Anymore,Melanie Lynskey,Macon Blair,Comedy Crime Drama Thriller,"When a depressed woman is burglarized, she finds a new sense of purpose by tracking down the thieves alongside her obnoxious neighbor. But they soon find themselves dangerously out of their depth against a pack of degenerate criminals.en",425591.0
Contemporary Color,,"Turner Ross, Bill Ross IV (directors)",Documentary Music,"In the summer of 2015, legendary musician David Byrne staged an event at Brooklyn's Barclays Center to celebrate the art of Color Guard: synchronized dance routines involving flags, rifles, and sabers. Recruiting performers that include the likes of Saint Vincent, Nelly Furtado, Ad-Rock, and Ira Glass to collaborate on original pieces with 10 color guard teams from across the US and Canada, Contemporary Color is a beautifully filmed snapshot of a one-of-a-kind live event.en",390295.0
Logan,Scott Frank,James Mangold,Action Drama Science Fiction,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.en",263115.0
The Shack,Sam Worthington,Stuart Hazeldine,Drama Fantasy,"After suffering a family tragedy, Mack Phillips spirals into a deep depression causing him to question his innermost beliefs. Facing a crisis of faith, he receives a mysterious letter urging him to an abandoned shack deep in the Oregon wilderness. Despite his doubts, Mack journeys to the shack and encounters an enigmatic trio of strangers led by a woman named Papa. Through this meeting, Mack finds important truths that will transform his understanding of his tragedy and change his life forever.en",345938.0
Before I Fall,Zoey Deutch,Ry Russo-Young,Drama Mystery Thriller Fantasy,"Samantha Kingston has everything. Then, everything changes. After one fateful night, she wakes up with no future at all. Trapped into reliving the same day over and over, she begins to question just how perfect her life really was.en",397837.0
Table 19,Anna Kendrick,Jeffrey Blitz,Comedy Drama,"Eloise, having been relieved of maid of honor duties after being unceremoniously dumped by the best man via text, decides to attend the wedding anyway – only to find herself seated with five fellow-unwanted guests at the dreaded Table 19.en",353569.0
The Last Word,Shirley MacLaine,Mark Pellington,Comedy Drama,"A retired businesswoman – who tries to control everything around her – decides to write her own obituary. A young journalist takes up the task of finding out the truth, and the result is a life-altering friendship.en",396810.0
Catfight,Alicia Silverstone,Onur Tukel,Comedy Drama,The rivalry between two former college friends comes to a head when they both attend the same glamorous event.en,408272.0
Donald Cried,Kristopher Avedisian,Kristopher Avedisian,Drama Comedy,"Returning home to working class Warwick, Rhode Island, Peter Latang encounters childhood friend Donald Treebeck for what starts as a simple favor and turns into a long van ride into two friends past.en",381009.0
Kong: Skull Island,Tom Hiddleston,Jordan Vogt-Roberts,Action Adventure Fantasy,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.en",293167.0
Burning Sands,Christine Berg (screenplay); Trevor Jackson,Gerard McMurray,Drama,"Deep into Hell Week, a favored pledgee is torn between honoring his code of silence or standing up against the intensifying violence of underground hazing.en",426265.0
Beauty and the Beast,Evan Spiliotopoulos,Bill Condon,Romance Family Animation Fantasy,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.en",10020.0
The Belko Experiment,John Gallagher Jr.,Greg McLean,Thriller Horror Action,A group of eighty American workers are locked in their office and ordered by an unknown voice to participate in a twisted game.en,341006.0
Song to Song,Ryan Gosling,Terrence Malick,Drama Romance,"In this modern love story set against the Austin, Texas music scene, two entangled couples — struggling songwriters Faye and BV, and music mogul Cook and the waitress whom he ensnares — chase success through a rock ‘n’ roll landscape of seduction and betrayal.en",330947.0
Atomica,Dominic Monaghan,Dagen Merrill,Science Fiction Thriller,"In the near future, when communications go offline at a remote nuclear power plant isolated in the desert, a young safety inspector, Abby Dixon, is forced to fly out to bring them back online. Once inside the facility, mysterious clues and strange behaviors cause Abby to have doubts about the sanity, and perhaps identities, of the two employees onsite.en",188924.0
All Nighter,J. K. Simmons,Gavin Wiesen,Comedy,"When a globe-trotting, workaholic father trying to visit his daughter on a last minute layover in Los Angeles discovers that she’s disappeared, he forces her awkward, nervous ex-boyfriend, still nursing a broken heart, to help him find her over the course of one increasingly crazy night.en",352501.0
The Devil's Candy,Ethan Embry,Sean Byrne,Drama Horror Thriller,A struggling painter is possessed by satanic forces after he and his young family move into their dream home in rural Texas.en,354216.0
